id,월키,날짜,부서,담당,제목,내용,매년반복
1,2025-03,3/4,"교무기획부","수업계","1학기 시간표 운영(임시→확정) 및 주간 변경 안내","개학일(3/4)에 임시 시간표를 안내하고 3/5~3/11 운영 후 3/12부터 확정 시간표로 전환한다(3/7 확정본 배포, 3/11 컴시간 알리미 이관). 이후 매주 목·금에 다음 주 시간표 변경(출장·행사 사유)을 쿨메신저로 안내하고, 교사·담임 모두 컴시간 알리미로 매일 확인하도록 지도한다. 수업 변경·보강 배정 원칙도 3/6에 별도 안내(시간표 변경은 연쇄 변동을 유발하므로 최소화).",TRUE
2,2025-03,3/4,"행정실","급여","부양가족신고서·원천징수동의서 제출","신규 부임 교직원 중 가족수당(배우자 포함) 수령자는 부양가족신고서와 주민등록등본을 개학 직후(3/5까지) 행정실에 제출하도록 안내한다. 3월 초 급여 처리를 위해 개학일에 바로 공지해야 한다.",TRUE
3,2025-03,3/4,"상담복지부","방과후","1기 방과후학교 강좌 개설 수요조사","개학일에 1기 방과후학교(3/24~6/20, 총 20차시, 차시당 45분) 강좌 개설 수요조사를 실시한다. 학사일정을 고려해 20차시 수업 가능 여부를 확인 후 신청하며, 가정통신문 발송 일정이 촉박하므로 다음날(3/5)까지 마감 리마인드를 보냈다. 학교행사로 휴강 시 보강 실시가 원칙.",TRUE
4,2025-03,3/4,"교무기획부","고사계","1학기 평가계획 수립 및 나이스 사전작업","3/4 교과별로 평가계획 약안(3월 교과협의록, 전자결재: 동교과 병렬협조→고사계→교무부장→교감→교장)과 세안 제출을 안내하고, 학업성적관리위원회 심의를 거쳐 3/28 확정본을 배포했다(영역별 기본점수 총점 20% 이상 등 규정 개정 반영, 확정 파일 기준으로만 평가). 나이스 성취평가기준 등록과 수행평가 영역·반영비율 입력(성적담당 박성민)은 학관위 통과 후 입력이 원칙으로, 3/13 첫 안내 후 4/11까지 마감했다.",TRUE
5,2025-03,3/4,"교육연구부","교과서","신학기 교과서 배부 및 교사용 지도서 관리","개학일에 방송에 따라 1학년 담임이 학급을 인솔해 교과서를 일괄 배부하고, 미배부 교과서(과학1 등)는 3/11 조회시간에 추가 배부했다(결석생 몫은 담임 보관). 2022개정 교과 지도서는 학교 자체 예산 구매로 바뀌어 3/14까지 반납·반품 처리했고, 교무실 비치 교사용 도서는 3/11 일과 후 정리했다.",TRUE
6,2025-03,3/5,"보건","보건","신학기 보건업무 일괄 안내","신규·복직 교직원은 한 달 이내 결핵검진(흉부엑스선) 필수(전 교직원 매년 1회)임을 3/5 안내. 3/14 요보호학생 명단(일반·알레르기)을 공람하고 비밀유지를 당부했으며, 법정감염병 학생 발생 시 담임이 보건실에 이름·병명·진단일을 보고하는 절차를 안내했다. 학사력에 없는 보건일정(6/5 2·3학년 소변검사, 7/4 교직원 심폐소생술 연수)도 3월 중 미리 공지해 부서 행사와 겹치지 않게 조율했다.",TRUE
7,2025-03,3/11,"2학년부","부장","중1 기초학력 진단검사 실시","3/11(화) 1~3교시에 1학년 각 반 교실에서 국·수·영 진단검사를 실시하며, 감독은 해당 교시 교과 담당 교사가 맡는다(3/5 1차 안내 → 3/10 재안내). 감독교사는 직전 쉬는 시간에 교무실에서 시험지 수령, OMR 인적사항·과목코드 확인 후 날인, 종료 후 문제지·답지 여분까지 전량 회수해 제출한다. 성적 미반영 검사이나 성실 응시 지도 필요.",TRUE
8,2025-03,3/12,"창의인문부","교내동아리","창체동아리·자율동아리 조직","3/12(수) 창체의 날 5교시 동아리 부서 조직(담임), 6교시 오리엔테이션(동아리 담당)을 진행하고 3/14 첫 동아리 활동을 실시했다. 사전에 동아리명·활동장소·회비·준비물을 구글 시트에 입력받고(3/7 마감), 외부강사 코티칭 동아리는 성범죄·아동학대 전력 조회 동의서를 받아야 한다. 자율동아리는 3/17~24 조직 기간 운영(포스터 학급 게시), 1학년 동아리는 자유학기(진로탐색) 시수 인정을 위해 동아리명 변경이 필요했다.",TRUE
9,2025-03,3/20,"상담복지부","전문상담","집단표준화 심리검사 실시","3/20 전교생 대상 집단표준화 심리검사를 실시했다(3/10 1차 안내 → 3/19 재안내: 컴퓨터싸인펜·수정테이프 준비, 해당 교시 교과교사가 교무실에서 검사지 수령). 당일 미참여 학생은 담임이 가정에서 온라인 검사하도록 개별 안내한다. 이 검사 결과는 4/1 1학년 정서행동특성검사와 별개로 운영된다.",TRUE
10,2025-03,3/11,"교육연구부","장학","부서 협의회(협의회비) 운영","3/13~3/31 중 부서별 1일을 선택해 부서 협의회를 실시하며, 날짜는 부서원 복무 확인 후 결정해 3/12까지 공유 시트에 입력한다(협의회 당일 조퇴·출장자는 인원에서 제외). 협의회비는 1인 25,000원이며 행정실에서 학교카드를 수령해 사용 후 영수증과 함께 반납한다.",TRUE
